feature,baseline_f1_macro,permuted_f1_macro_mean,permuted_f1_macro_std,importance_f1_drop,baseline_accuracy,permuted_accuracy_mean,permuted_accuracy_std,importance_accuracy_drop
SNR,0.8649689589379881,0.5319409565817282,0.002660992761730693,0.33302800235625984,0.8764,0.5346000000000001,0.0021416504538945267,0.3417999999999999
P2,0.8649689589379881,0.6926124172587924,0.003972852741460057,0.17235654167919567,0.8764,0.6967333333333333,0.003616013765952161,0.17966666666666664
P4,0.8649689589379881,0.7034654842448204,0.0029318030999071322,0.16150347469316773,0.8764,0.7035333333333332,0.0023683092891108926,0.17286666666666672
P3,0.8649689589379881,0.7086223438764193,0.0033740635326210836,0.15634661506156877,0.8764,0.7121333333333334,0.0035490217744549527,0.16426666666666656
P1,0.8649689589379881,0.71375745899763,0.0004352229727398654,0.1512114999403581,0.8764,0.7190666666666666,0.0006798692684790139,0.15733333333333333
P6,0.8649689589379881,0.7199685846687459,0.0027353968885689742,0.14500037426924217,0.8764,0.7197333333333334,0.0030125662740519954,0.1566666666666665
P5,0.8649689589379881,0.7206340920089952,0.0009385372357222751,0.1443348669289929,0.8764,0.7237333333333332,9.428090415819594e-05,0.15266666666666673
P7,0.8649689589379881,0.7278819470667685,0.004736024089106526,0.13708701187121963,0.8764,0.7304,0.004835976288885917,0.1459999999999999
P8,0.8649689589379881,0.7289620150105804,0.00029942669529420013,0.13600694392740764,0.8764,0.7308666666666667,0.0012364824660661133,0.1455333333333333
P9,0.8649689589379881,0.7316820333488837,0.0041679506037515645,0.13328692558910438,0.8764,0.7355333333333333,0.0034344658326376995,0.1408666666666667
P30,0.8649689589379881,0.7380157544306646,0.00466262266319537,0.1269532045073235,0.8764,0.7458,0.004348179695765397,0.13059999999999994
P10,0.8649689589379881,0.7450961210927717,0.001110203162485007,0.1198728378452164,0.8764,0.7501333333333333,0.001062491830033922,0.12626666666666664
P11,0.8649689589379881,0.756045387416887,0.00219180855500134,0.1089235715211011,0.8764,0.7612666666666666,0.002499777767900321,0.11513333333333331
P12,0.8649689589379881,0.7672026720931965,0.005461643242402379,0.0977662868447916,0.8764,0.7752,0.005225578117937415,0.10119999999999996
P27,0.8649689589379881,0.775793848098345,0.0030156078183986796,0.08917511083964313,0.8764,0.7837999999999999,0.0028612351645166613,0.09260000000000002
P25,0.8649689589379881,0.7765611371168758,0.0008994176336449991,0.08840782182111229,0.8764,0.7842666666666666,0.0008993825042154609,0.0921333333333334
P13,0.8649689589379881,0.7774019443272732,0.006547175176255479,0.08756701461071492,0.8764,0.7855333333333333,0.006025132548103991,0.09086666666666665
P26,0.8649689589379881,0.7777402498412616,0.004427406795472352,0.08722870909672653,0.8764,0.7844666666666668,0.004212151733048352,0.0919333333333332
P24,0.8649689589379881,0.7812694579448191,0.002268355954275305,0.08369950099316903,0.8764,0.7879333333333333,0.0027776888874666067,0.0884666666666667
P29,0.8649689589379881,0.7840556260521382,0.002233820204906634,0.0809133328858499,0.8764,0.7948666666666666,0.0020805982045769443,0.08153333333333335
P14,0.8649689589379881,0.785072022402573,0.001508927488302923,0.07989693653541508,0.8764,0.793,0.0013366625103842194,0.08339999999999992
P15,0.8649689589379881,0.7867318796996766,0.002021588568664791,0.07823707923831147,0.8764,0.7951333333333332,0.0023570226039551605,0.08126666666666671
P28,0.8649689589379881,0.7881219301640723,0.0016106911917451634,0.0768470287739158,0.8764,0.7982666666666667,0.0011469767022723614,0.07813333333333328
P23,0.8649689589379881,0.7904092439100042,0.0019628798279623092,0.07455971502798386,0.8764,0.7984,0.0018547236990991759,0.07799999999999996
P22,0.8649689589379881,0.7966709093846189,0.000796968707168763,0.06829804955336916,0.8764,0.8039999999999999,0.0008640987597877223,0.07240000000000002
P16,0.8649689589379881,0.7980557290916245,0.0020389098739409667,0.06691322984636361,0.8764,0.8064666666666667,0.001934482417139584,0.06993333333333329
P21,0.8649689589379881,0.7999760899065826,0.0015885205158547595,0.06499286903140544,0.8764,0.8081333333333335,0.0016357125528513737,0.06826666666666648
P17,0.8649689589379881,0.8026269790143644,0.001509934999534501,0.06234197992362367,0.8764,0.8119333333333333,0.0016519348924485188,0.06446666666666667
P19,0.8649689589379881,0.8043183689993203,0.0010700874011540305,0.06065058993866779,0.8764,0.8136000000000001,0.0012961481396815836,0.06279999999999986
P20,0.8649689589379881,0.8064540246397486,0.002730125160891359,0.05851493429823951,0.8764,0.8146,0.0024055491403558006,0.061799999999999966
P18,0.8649689589379881,0.810787900322346,0.0038757980325335377,0.05418105861564204,0.8764,0.8192,0.0036914315199752744,0.05719999999999992
