feature,abs_pearson_corr,abs_spearman_corr,anova_f_score,mutual_information,rf_importance,permutation_importance_mean,lr_abs_coef_mean,abs_pearson_corr_norm,abs_spearman_corr_norm,anova_f_score_norm,mutual_information_norm,rf_importance_norm,permutation_importance_mean_norm,lr_abs_coef_mean_norm,combined_importance_score,rank_abs_pearson_corr,rank_abs_spearman_corr,rank_anova_f_score,rank_mutual_information,rank_rf_importance,rank_permutation_importance_mean,rank_lr_abs_coef_mean,average_rank
Reflectance,0.790155716242416,0.8349611518152065,506142.5078903649,1.4118707183052488,0.19815588258790853,0.3240641837359528,10.47764996009491,1.0,1.0,1.0,0.8746042551544978,0.8188584134865807,0.9691788622253161,1.0,0.9518059329809135,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.4285714285714286
loss,0.3457101516214754,0.22654215148592094,56412.82936692865,1.5930903824774343,0.24104276543954134,0.3343698427263201,10.224250534134908,0.4294588856534091,0.24788543752515083,0.10799513359756678,1.0,1.0,1.0,0.9756679044226529,0.6801439087426828,12.0,21.0,2.0,1.0,1.0,1.0,2.0,5.714285714285714
Position,0.13083028322878842,0.23207969781233623,9392.555521531845,0.589828141761009,0.11597353226499327,0.16459431545741326,4.168393588809581,0.15361453187304497,0.25473083392174917,0.014733970075125804,0.30578827344878823,0.4717443233253809,0.4922522740549088,0.39416820513108475,0.2981474874042975,30.0,20.0,9.0,4.0,3.0,3.0,3.0,10.285714285714286
P1,0.6130188151991489,0.6014229127678371,20213.148740915647,0.5198259692730263,0.034567847978707995,0.0,0.6657775777527077,0.7726068320665481,0.7113050210673962,0.03619579985861103,0.25734996185588327,0.127910642200971,0.0,0.057837579168125104,0.280457976602505,2.0,2.0,3.0,5.0,6.0,20.0,5.0,6.142857142857143
P2,0.6092588954217926,0.6013210871229836,19022.25366915192,0.5062344042271856,0.028361908883325123,0.0,0.4062399316399847,0.7677801693874948,0.7111791463818814,0.03383374938670169,0.24794521855539947,0.1016985797054915,0.0,0.032916075154413256,0.27076470551019743,3.0,3.0,4.0,6.0,7.0,20.0,6.0,7.0
P3,0.6005133036086351,0.5989382624457491,17207.15667971313,0.4740062164999972,0.019783208656102367,0.0,0.2798107916112594,0.7565533283615191,0.7082335494518011,0.03023364153327384,0.22564478210148547,0.0654646716651687,0.0,0.02077600850948596,0.2581294259461049,4.0,4.0,5.0,7.0,9.0,20.0,9.0,8.285714285714286
P4,0.5875041253459905,0.5916542158331455,15274.97000101906,0.4452171917197938,0.015600455500728149,0.0,0.18383673987906718,0.7398532605612408,0.6992291667350881,0.026401295120531482,0.20572408959728145,0.0477979518622943,0.0,0.011560321493440525,0.24722372648141094,5.0,5.0,6.0,8.0,11.0,20.0,15.0,10.0
P5,0.5683279054531634,0.5774685208959659,13090.66769334364,0.40939737180054303,0.01284146282124597,0.0,0.15682256701582908,0.7152364734054503,0.6816931138910708,0.022068896390392962,0.1809384074279421,0.036144777793447644,0.0,0.008966347834814163,0.23500685953473113,6.0,6.0,7.0,9.0,13.0,20.0,20.0,11.571428571428571
P6,0.5487710008177554,0.5599938728896939,11156.820654511395,0.38675549354426764,0.01193229163759326,0.0,0.11677184692695433,0.6901309958125483,0.6600913275686087,0.01823325677866028,0.1652712600374184,0.03230470596568446,0.0,0.005120569789137376,0.22445030227886537,7.0,7.0,8.0,10.0,15.0,20.0,28.0,13.571428571428571
P7,0.5205326572925646,0.5330604928097245,9368.80028903298,0.355783580540602,0.00839067285683213,0.0,0.13528718203081033,0.653881031216985,0.6267968588491051,0.014686853364791988,0.14384010841198214,0.017345949298939026,0.0,0.006898462148943852,0.2090641804701067,8.0,8.0,10.0,13.0,19.0,20.0,25.0,14.714285714285714
