feature,lr_abs_coef_mean
Reflectance,10.47764996009491
loss,10.224250534134908
Position,4.168393588809581
SNR,2.3223684471411703
P1,0.6657775777527077
P2,0.4062399316399847
P30,0.30188278307725
P28,0.2983277507396066
P3,0.2798107916112594
P29,0.26840060948114663
P12,0.2484415319089084
P26,0.21883205095571406
P11,0.19566472543559388
P27,0.1879976377343821
P4,0.18383673987906718
P24,0.1775424162360958
P25,0.16827295430737346
P10,0.16499907132153982
P22,0.16497968758155632
P5,0.15682256701582908
P13,0.1557061723600756
P19,0.15379041691159118
P9,0.15162278885187735
P21,0.14293380144668652
P7,0.13528718203081033
P18,0.12224505432154162
P14,0.12031564912061264
P6,0.11677184692695433
P16,0.10848469987505954
P23,0.09738851161927238
P17,0.09198780627535309
P20,0.08441472451602602
P8,0.08164496065641237
P15,0.06344518457553966
